ID,RMSE,MAE,MaxErr,PhysFid,Stability
RW1,426.9457455889774,362.7351664611701,947.5765609741211,365.32636971197564,347.2695428131363
RW2,380.48978873154925,325.59873740005895,971.4384460449219,367.15928685058236,336.417517709422
RW3,356.5757281829693,312.1452472309002,870.7594528198243,297.5312223794417,350.9510033074921
RW4,388.49919171502984,319.0108440565618,952.1121940612791,282.71759422105197,341.1442633733109
RW5,392.3860678425961,323.5406805092328,944.6101150512693,283.2450036370905,340.9365345466351
RW6,394.17487819611813,327.5688653417847,914.9372444152832,268.31475126042085,335.64079868400614
RW7,411.77283497051707,348.61242833334546,956.0334854125978,356.8673100457918,341.20423019050173
RW8,415.32509027788814,349.4637785198657,973.8413314819336,370.2262634301057,345.11186397092075
RW9,319.10321567757603,277.9665388559912,907.250732421875,374.44606664479136,318.97307423966976
RW10,318.292753933147,277.2957423036711,920.9252815246582,372.4339625337224,318.16847154655096
RW11,318.3452033175011,276.83127210989574,911.574806213379,373.50580015915136,318.2055167834458
RW12,326.5643593999915,284.1693792005012,902.2293777465821,376.70718571230606,324.47502908463053
RW13,327.25569993206153,276.7960651174467,887.9791412353514,263.4818236377899,263.88458271913805
RW14,310.3473800077947,262.75896967337854,890.020793914795,272.1380513010589,269.102598271373
RW15,323.083695820453,273.5647712791126,828.0597763061523,274.24112561839206,270.06852517334954
RW16,317.0371611601365,265.5605332384964,935.7042694091797,263.32466569945643,264.0676312230893
RW17,409.6276313391004,358.6912665765701,930.0294952392578,337.13332940504114,309.9072097790716
RW18,460.5904244946414,394.93656148007176,969.3889579772947,361.76547754184213,319.2707192646467
RW19,466.86750818171913,396.7978348426813,982.3471221923827,371.55295803957216,323.87849202113574
RW20,419.2662083173631,375.356434366081,861.3233947753906,350.4942099243126,316.7702081337962
RW21,302.9331794969587,251.72898916131484,832.9318466186523,235.6910164139906,245.69613822522908
RW22,284.50434644185464,234.69992586891166,875.2905578613279,233.4511953371037,239.2498960592145
RW23,303.4248510980969,251.99746649482148,900.2657546997068,235.95388363083572,243.6220504891165
RW24,302.22823085704306,250.6101772912151,895.1268577575684,241.05344966452284,246.78593082030514
RW25,422.7385841529726,378.16538869475124,856.6999816894531,359.33209171519565,297.57852525008224
RW26,432.22400632902196,383.90338245764525,839.9557952880858,372.9793715895268,314.98708584363493
RW27,414.2248280474923,370.1938383080314,853.2079162597656,354.92324973952503,289.2252403767818
RW28,429.05913649905625,386.95243470417984,835.6630249023435,361.2887344582925,292.6284140142512
